trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.995}",20,0,-150.54793171634861,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.99}",20,14,8.976505573525703,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.985}",20,0,-130.3938134063692,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.98}",30,0,-110.5915674900846,"{0: 18, 1: 4, 2: 7, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.975}",20,0,-118.73642970539387,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.97}",25,0,-161.62164787237396,"{0: 12, 1: 4, 2: 6, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.965}",25,0,-161.62162113149301,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.96}",20,0,-65.42332506798643,"{0: 11, 1: 5, 2: 3, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.955}",30,0,-199.91275046952623,"{0: 16, 1: 3, 2: 8, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.95}",25,0,-153.04382559909203,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.945}",25,0,-152.7323023499465,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.94}",20,0,-59.99237522475089,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.9349999999999999}",20,0,-114.37641267956116,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.9299999999999999}",20,0,-119.09299041422844,"{0: 9, 1: 2, 2: 8, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.9249999999999999}",20,6,-46.939094072370565,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.9199999999999999}",25,0,-9.064551188172338,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.9149999999999999}",20,3,-46.60998012605115,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.9099999999999999}",20,0,-19.278331556184966,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.9049999999999999}",20,0,-54.50578175034783,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.8999999999999999}",35,0,-206.29845687974222,"{0: 19, 1: 4, 2: 9, 3: 0, 4: 3}",0
21,False,"{'a': 0.5, 'e': 0.8949999999999999}",35,13,-69.28067549736487,"{0: 14, 1: 1, 2: 6, 3: 1, 4: 0}",1
22,False,"{'a': 0.5, 'e': 0.8899999999999999}",25,1,-123.94731585731394,"{0: 15, 1: 3, 2: 3, 3: 1, 4: 2}",1
23,False,"{'a': 0.5, 'e': 0.8849999999999999}",20,0,-114.59172860463839,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
24,False,"{'a': 0.5, 'e': 0.8799999999999999}",25,0,-38.107709665380725,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.8749999999999999}",20,0,-129.69511105024168,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
26,False,"{'a': 0.5, 'e': 0.8699999999999999}",25,0,-116.75319054514299,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
27,False,"{'a': 0.5, 'e': 0.8649999999999999}",35,0,-64.32259507638351,"{0: 27, 1: 3, 2: 4, 3: 0, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.8599999999999999}",25,0,-90.4706270840999,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
29,False,"{'a': 0.5, 'e': 0.8549999999999999}",25,0,-107.29672747164143,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-151.76283447590887,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
31,False,"{'a': 0.5, 'e': 0.8449999999999999}",30,3,-44.12167519963444,"{0: 19, 1: 2, 2: 6, 3: 0, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.8399999999999999}",25,0,-136.02246110779316,"{0: 14, 1: 6, 2: 2, 3: 1, 4: 2}",0
33,False,"{'a': 0.5, 'e': 0.8349999999999999}",20,0,-71.36988366067702,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.8299999999999998}",20,0,-119.26874643538744,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
35,False,"{'a': 0.5, 'e': 0.8249999999999998}",30,0,-116.39378185882406,"{0: 16, 1: 3, 2: 10, 3: 1, 4: 0}",0
36,False,"{'a': 0.5, 'e': 0.8199999999999998}",25,0,-106.8061215510657,"{0: 15, 1: 6, 2: 2, 3: 0, 4: 2}",0
37,False,"{'a': 0.5, 'e': 0.8149999999999998}",20,0,-82.48827021179231,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
38,False,"{'a': 0.5, 'e': 0.8099999999999998}",30,10,-104.08057722839752,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",1
39,False,"{'a': 0.5, 'e': 0.8049999999999998}",25,0,-53.599000259968726,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",0
40,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-2.934547232571326,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
41,False,"{'a': 0.5, 'e': 0.7949999999999998}",25,0,-183.47608193798047,"{0: 14, 1: 1, 2: 6, 3: 1, 4: 3}",0
42,False,"{'a': 0.5, 'e': 0.7899999999999998}",25,0,-102.70342209644946,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
43,False,"{'a': 0.5, 'e': 0.7849999999999998}",25,0,-179.6666051433622,"{0: 12, 1: 4, 2: 6, 3: 0, 4: 3}",0
44,False,"{'a': 0.5, 'e': 0.7799999999999998}",20,0,-66.46935786783325,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
45,False,"{'a': 0.5, 'e': 0.7749999999999998}",20,0,-57.25871363566519,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.7699999999999998}",25,4,-105.2499432530849,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 2}",1
47,False,"{'a': 0.5, 'e': 0.7649999999999998}",25,0,-101.92226742040974,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 2}",0
48,False,"{'a': 0.5, 'e': 0.7599999999999998}",25,13,-32.104165660675086,"{0: 6, 1: 4, 2: 2, 3: 0, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.7549999999999998}",30,14,-69.46988341178441,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 2}",1
50,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-25.331102756128644,"{0: 22, 1: 5, 2: 3, 3: 0, 4: 0}",0
51,False,"{'a': 0.5, 'e': 0.7449999999999998}",25,16,-37.1012044904593,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 1}",1
52,False,"{'a': 0.5, 'e': 0.7399999999999998}",20,0,-154.45824588593413,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
53,False,"{'a': 0.5, 'e': 0.7349999999999998}",30,1,-39.5150850248469,"{0: 24, 1: 1, 2: 3, 3: 0, 4: 1}",1
54,False,"{'a': 0.5, 'e': 0.7299999999999998}",20,11,-23.551762687858314,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.7249999999999998}",20,0,-74.35711078116209,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 0}",0
56,False,"{'a': 0.5, 'e': 0.7199999999999998}",20,0,-12.718664350782184,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
57,False,"{'a': 0.5, 'e': 0.7149999999999997}",30,0,-48.236050829882466,"{0: 20, 1: 8, 2: 1, 3: 1, 4: 0}",0
58,False,"{'a': 0.5, 'e': 0.7099999999999997}",30,6,-134.19025555855364,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 3}",1
59,False,"{'a': 0.5, 'e': 0.7049999999999997}",25,9,-0.04076534884962424,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-131.28102502011566,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
61,False,"{'a': 0.5, 'e': 0.6949999999999997}",20,0,-16.343753816382968,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
62,False,"{'a': 0.5, 'e': 0.6899999999999997}",35,10,-69.18618141529751,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",1
63,False,"{'a': 0.5, 'e': 0.6849999999999997}",25,3,-97.05832021875493,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 2}",1
64,False,"{'a': 0.5, 'e': 0.6799999999999997}",25,0,-88.3471656813299,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 3}",0
65,False,"{'a': 0.5, 'e': 0.6749999999999997}",35,3,-66.72423495842486,"{0: 25, 1: 2, 2: 3, 3: 1, 4: 1}",1
66,False,"{'a': 0.5, 'e': 0.6699999999999997}",25,8,-9.909953160059136,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 0}",1
67,False,"{'a': 0.5, 'e': 0.6649999999999997}",20,0,-44.11598089454919,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
68,False,"{'a': 0.5, 'e': 0.6599999999999997}",25,0,-44.41883428753357,"{0: 19, 1: 5, 2: 0, 3: 0, 4: 1}",0
69,False,"{'a': 0.5, 'e': 0.6549999999999997}",35,0,-81.15565445864802,"{0: 27, 1: 1, 2: 5, 3: 1, 4: 1}",0
70,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,6,-67.45815352670913,"{0: 9, 1: 0, 2: 4, 3: 0, 4: 1}",1
71,False,"{'a': 0.5, 'e': 0.6449999999999997}",25,0,-66.53098583778878,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
72,False,"{'a': 0.5, 'e': 0.6399999999999997}",30,3,-160.7946528016962,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 3}",1
73,False,"{'a': 0.5, 'e': 0.6349999999999997}",20,0,-135.66146799687868,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
74,False,"{'a': 0.5, 'e': 0.6299999999999997}",20,0,-45.18242948376509,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
75,False,"{'a': 0.5, 'e': 0.6249999999999997}",25,6,-84.21663012094685,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 1}",1
76,False,"{'a': 0.5, 'e': 0.6199999999999997}",20,0,1.6321259272025912,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
77,False,"{'a': 0.5, 'e': 0.6149999999999997}",20,13,-16.838181678332308,"{0: 4, 1: 1, 2: 2, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.6099999999999997}",20,0,-61.81151723213862,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
79,False,"{'a': 0.5, 'e': 0.6049999999999996}",25,18,1.9180196945710708,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,8,-91.83583921380995,"{0: 5, 1: 2, 2: 3, 3: 1, 4: 1}",1
81,False,"{'a': 0.5, 'e': 0.5949999999999996}",20,2,-63.98594149888095,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 1}",1
82,False,"{'a': 0.5, 'e': 0.5899999999999996}",35,1,-114.30024755828258,"{0: 23, 1: 2, 2: 7, 3: 1, 4: 1}",1
83,False,"{'a': 0.5, 'e': 0.5849999999999996}",20,0,-107.3915623194476,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",1
84,False,"{'a': 0.5, 'e': 0.5799999999999996}",25,0,-115.4273790465872,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
