trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.005, 'e': 1.0}",35,0,-115.59345686245909,"{0: 21, 1: 7, 2: 6, 3: 0, 4: 1}",0
2,False,"{'a': 0.005, 'e': 0.9950124791926823}",25,0,-150.2947224643845,"{0: 14, 1: 1, 2: 8, 3: 0, 4: 2}",0
3,False,"{'a': 0.005, 'e': 0.9900498337491681}",30,0,-133.31609237595669,"{0: 18, 1: 6, 2: 4, 3: 0, 4: 2}",0
4,False,"{'a': 0.005, 'e': 0.9851119396030626}",30,7,-42.40721782262801,"{0: 13, 1: 7, 2: 3, 3: 0, 4: 0}",1
5,False,"{'a': 0.005, 'e': 0.9801986733067553}",25,3,-118.78844153470325,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 2}",1
6,False,"{'a': 0.005, 'e': 0.9753099120283326}",20,0,-24.291086161394354,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",1
7,False,"{'a': 0.005, 'e': 0.9704455335485082}",30,0,-168.26961987051112,"{0: 19, 1: 2, 2: 6, 3: 0, 4: 3}",0
8,False,"{'a': 0.005, 'e': 0.9656054162575665}",20,12,-54.04209321708978,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 1}",1
9,False,"{'a': 0.005, 'e': 0.9607894391523232}",25,0,-82.93160943868673,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
10,False,"{'a': 0.005, 'e': 0.9559974818331}",20,13,10.380874926574453,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.005, 'e': 0.951229424500714}",25,0,-125.66437921920908,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
12,False,"{'a': 0.005, 'e': 0.9464851479534838}",20,0,-127.95736711166681,"{0: 7, 1: 4, 2: 8, 3: 0, 4: 1}",0
13,False,"{'a': 0.005, 'e': 0.9417645335842487}",20,7,-29.986332580676752,"{0: 8, 1: 2, 2: 3, 3: 0, 4: 0}",1
14,False,"{'a': 0.005, 'e': 0.9370674633774034}",20,0,-138.47791113587743,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
15,False,"{'a': 0.005, 'e': 0.9323938199059483}",30,0,-159.16893798377194,"{0: 19, 1: 3, 2: 4, 3: 2, 4: 2}",0
16,False,"{'a': 0.005, 'e': 0.9277434863285529}",20,0,-91.64732520125193,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
