trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-24.782545587591937,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-19.559433325015213,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-177.43612786166403,"{0: 13, 1: 4, 2: 5, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-79.94390720914747,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-118.55135481827163,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-151.85877125209524,"{0: 5, 1: 8, 2: 4, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,2,-74.98146533679088,"{0: 10, 1: 0, 2: 7, 3: 1, 4: 0}",1
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-126.81895945827932,"{0: 17, 1: 0, 2: 4, 3: 3, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-175.00470037669444,"{0: 8, 1: 5, 2: 4, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-99.97725633353085,"{0: 16, 1: 0, 2: 8, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-120.98326196616517,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-96.83204041653114,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-68.042956673969,"{0: 16, 1: 6, 2: 2, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-199.0588659893306,"{0: 11, 1: 0, 2: 5, 3: 0, 4: 4}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-81.08941276869419,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-54.53067237857167,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-64.15119962791206,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",35,9,-242.10594816694064,"{0: 13, 1: 3, 2: 5, 3: 0, 4: 5}",1
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-163.98639460811356,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-95.28961631963989,"{0: 20, 1: 4, 2: 5, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-168.66211745898232,"{0: 10, 1: 0, 2: 6, 3: 2, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-99.7665139548896,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-211.91548284558638,"{0: 12, 1: 5, 2: 10, 3: 1, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-111.06909019985378,"{0: 9, 1: 5, 2: 5, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,9,-162.22462084768398,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 3}",1
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-113.0265922093553,"{0: 8, 1: 2, 2: 9, 3: 1, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-161.89995306872,"{0: 8, 1: 2, 2: 8, 3: 0, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-155.57430862882353,"{0: 8, 1: 3, 2: 7, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-92.21274885762155,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,8,-59.095379076842974,"{0: 7, 1: 2, 2: 2, 3: 0, 4: 1}",1
